Species,Trait Type,p,h2,Q,m,means,mean increase,sd,Dunnett_Pvalue_adj
Maize,Two,25,0.5,0.3,10,0.424193946,-0.014861586,0.011137352,4.82E-14
Maize,Two,25,0.5,0.3,25,0.427784503,-0.011271028,0.01006137,2.06E-08
Maize,Two,25,0.5,0.3,50,0.431810562,-0.00724497,0.009769593,0.000923455
Maize,Two,25,0.5,0.3,100,0.435028205,-0.004027327,0.006534906,0.18170959
Maize,Two,25,0.5,0.3,250,0.435268487,-0.003787045,0.005105092,0.236231712
Maize,Two,100,0.5,0.3,0,0.380576472,0,0,0
Maize,Two,100,0.5,0.3,1,0.205883373,-0.174693098,0,0
Maize,Two,100,0.5,0.3,2,0.313098065,-0.067478406,0.02233239,0
Maize,Two,100,0.5,0.3,3,0.344954262,-0.035622209,0.019112058,6.03E-09
Maize,Two,100,0.5,0.3,5,0.360378336,-0.020198135,0.015155447,0.002001039
Maize,Two,100,0.5,0.3,10,0.361549141,-0.01902733,0.01431089,0.004305188
Maize,Two,100,0.5,0.3,25,0.367507637,-0.013068835,0.013400831,0.099771047
Maize,Two,100,0.5,0.3,50,0.373178095,-0.007398377,0.009468082,0.658421528
Maize,Two,100,0.5,0.3,100,0.375970571,-0.004605901,0.009264114,0.957192667
Maize,Two,100,0.5,0.3,250,0.373591725,-0.006984746,0.007329898,0.715960376
Maize,Two,2,0.5,0.5,0,0.214561668,0,0,0
Maize,Two,2,0.5,0.5,1,0.184529769,-0.0300319,0.018374298,0
Maize,Two,2,0.5,0.5,2,0.188032568,-0.0265291,0.013358229,1.44E-15
Maize,Two,2,0.5,0.5,3,0.186814339,-0.027747329,0.016180296,1.11E-16
Maize,Two,2,0.5,0.5,5,0.192269834,-0.022291835,0.018799692,1.02E-11
Maize,Two,2,0.5,0.5,10,0.197961699,-0.01659997,0.016364516,9.94E-07
Maize,Two,2,0.5,0.5,25,0.199319892,-0.015241776,0.016879281,6.13E-06
Maize,Two,3,0.5,0.5,0,0.462031352,0,0,0
Maize,Two,3,0.5,0.5,1,0.083178776,-0.378852576,0,0
Maize,Two,3,0.5,0.5,2,0.226500944,-0.235530408,0.105251208,0
Maize,Two,3,0.5,0.5,3,0.300871655,-0.161159697,0.095349078,0
Maize,Two,3,0.5,0.5,5,0.383770335,-0.078261017,0.070883164,5.09E-09
Maize,Two,3,0.5,0.5,10,0.439562627,-0.022468725,0.036476394,0.272496576
Maize,Two,3,0.5,0.5,25,0.456216674,-0.005814678,0.007121207,0.993976184
Maize,Two,5,0.5,0.5,0,0.216662596,0,0,0
Maize,Two,5,0.5,0.5,1,0.188257053,-0.028405543,0.028250783,1.62E-08
Maize,Two,5,0.5,0.5,2,0.185827051,-0.030835546,0.02756231,8.83E-10
Maize,Two,5,0.5,0.5,3,0.183448785,-0.033213812,0.023550473,2.46E-11
Maize,Two,5,0.5,0.5,5,0.185042177,-0.031620419,0.023602415,1.23E-10
Maize,Two,5,0.5,0.5,10,0.183872344,-0.032790253,0.022841563,2.60E-11
Maize,Two,5,0.5,0.5,25,0.183342417,-0.033320179,0.025381432,4.00E-11
Maize,Two,5,0.5,0.5,50,0.193038356,-0.023624241,0.023116388,3.10E-06
Maize,Two,10,0.5,0.5,0,0.440508325,0,0,0
Maize,Two,10,0.5,0.5,1,0.272820218,-0.167688107,0,0
